Quantile,Nombre d'individus,Seuil de revenu brut annuel,Revenu brut annuel moyen,IRPP,PL,PPE,CSG,Impôt total,Nouvel IR
20,503 738,6 193 €,6 535 €,"1,0 %","0,3 %","2,0 %","5,2 %","4,5 %","2,0 %"
21,503 598,6 867 €,7 187 €,"1,0 %","0,3 %","2,0 %","5,0 %","4,3 %","2,0 %"
22,503 625,7 511 €,7 810 €,"1,0 %","0,3 %","2,0 %","4,8 %","4,1 %","2,0 %"
23,504 118,8 104 €,8 388 €,"0,9 %","0,3 %","2,2 %","5,0 %","4,1 %","2,0 %"
24,503 303,8 669 €,8 944 €,"0,9 %","0,2 %","1,9 %","4,7 %","4,0 %","2,0 %"
25,503 747,9 220 €,9 475 €,"0,9 %","0,2 %","1,9 %","4,7 %","4,0 %","2,0 %"
26,503 564,9 727 €,9 968 €,"0,9 %","0,2 %","1,8 %","4,8 %","4,2 %","2,0 %"
27,503 658,10 201 €,10 431 €,"1,0 %","0,2 %","1,6 %","4,7 %","4,3 %","2,0 %"
28,503 752,10 666 €,10 891 €,"0,9 %","0,2 %","1,6 %","4,7 %","4,3 %","2,0 %"
29,503 549,11 116 €,11 359 €,"1,1 %","0,2 %","1,9 %","5,1 %","4,5 %","2,0 %"
30,503 813,11 621 €,11 862 €,"1,1 %","0,2 %","1,8 %","5,4 %","4,9 %","2,0 %"
31,503 503,12 087 €,12 312 €,"1,0 %","0,2 %","1,7 %","5,4 %","4,9 %","2,0 %"
32,503 623,12 545 €,12 777 €,"1,1 %","0,2 %","1,7 %","5,4 %","5,0 %","2,0 %"
